X,Y,PEOPLE,TYPE,PEOPLE_201,icon_url
15.857069,-17.359896,7.0,Rural,7.9,./0.png
15.849688,-17.362906,7.0,Rural,7.9,./0.png
15.849323,-17.361022,7.0,Rural,7.9,./0.png
15.868571,-17.355001,7.0,Rural,7.9,./0.png
15.8716018134819,-17.3556782176521,7.0,Rural,7.9,./0.png
15.876274,-17.356987,5.0,Rural,7.9,./0.png
15.87224,-17.360756,7.0,Rural,7.9,./0.png
15.8955428290013,-17.3603525026183,7.0,Rural,7.9,./0.png
15.8978761865181,-17.3582389844806,7.0,Rural,7.9,./0.png
15.898937119204,-17.3560269844806,7.0,Rural,7.9,./0.png
15.900049,-17.361637,7.0,Rural,7.9,./0.png
15.905349,-17.359158,7.0,Rural,7.9,./0.png
15.9056769015519,-17.3603968290012,7.0,Rural,7.9,./0.png
16.136963,-17.365507,7.0,Rural,7.9,./0.png
16.506271,-17.359322,7.0,Rural,7.9,./0.png
15.964079,-17.345682,7.0,Rural,7.9,./0.png
15.959723,-17.350434,7.0,Rural,7.9,./0.png
15.962963,-17.348078,7.0,Rural,7.9,./0.png
15.897861,-17.348836,7.0,Rural,7.9,./0.png
15.904126,-17.349287,7.0,Rural,7.9,./0.png
15.898783,-17.343838,7.0,Rural,7.9,./0.png
15.896144,-17.343613,7.0,Rural,7.9,./0.png
15.901809,-17.345477,7.0,Rural,7.9,./0.png
15.9012776424831,-17.3536200052366,7.0,Rural,7.9,./0.png
15.881875,-17.350167,7.0,Rural,7.9,./0.png
15.867326,-17.345641,7.0,Rural,7.9,./0.png
15.865309,-17.351355,7.0,Rural,7.9,./0.png
15.841942,-17.346235,7.0,Rural,7.9,./0.png
15.843337,-17.350638,7.0,Rural,7.9,./0.png
15.818596,-17.344576,7.0,Rural,7.9,./0.png
15.821342,-17.351396,7.0,Rural,7.9,./0.png
15.809991,-17.350618,7.0,Rural,7.9,./0.png
15.792439,-17.343593,7.0,Rural,7.9,./0.png
15.799735,-17.349737,7.0,Rural,7.9,./0.png
15.800571,-17.352727,7.0,Rural,7.9,./0.png
15.768771,-17.345395,7.0,Rural,7.9,./0.png
15.768664,-17.351335,7.0,Rural,7.9,./0.png
15.766475,-17.348836,7.0,Rural,7.9,./0.png
15.708454,-17.344453,7.0,Rural,7.9,./0.png
15.682211,-17.344187,7.0,Rural,7.9,./0.png
15.676975,-17.349082,7.0,Rural,7.9,./0.png
15.630841,-17.346624,7.0,Rural,7.9,./0.png
15.610907,-17.345969,7.0,Rural,7.9,./0.png
15.587926,-17.345477,7.0,Rural,7.9,./0.png
15.579515,-17.349369,7.0,Rural,7.9,./0.png
15.576961,-17.345764,7.0,Rural,7.9,./0.png
15.577047,-17.347095,7.0,Rural,7.9,./0.png
15.571876,-17.352093,7.0,Rural,7.9,./0.png
15.518167,-17.346952,7.0,Rural,7.9,./0.png
15.519605,-17.352789,7.0,Rural,7.9,./0.png
15.523961,-17.348775,7.0,Rural,7.9,./0.png
15.500743,-17.342794,7.0,Rural,7.9,./0.png
15.498834,-17.345723,7.0,Rural,7.9,./0.png
15.48877,-17.343613,7.0,Rural,7.9,./0.png
15.487161,-17.346337,7.0,Rural,7.9,./0.png
15.485573,-17.349573,7.0,Rural,7.9,./0.png
15.485337,-17.350966,7.0,Rural,7.9,./0.png
15.467441,-17.351109,7.0,Rural,7.9,./0.png
15.465403,-17.348017,7.0,Rural,7.9,./0.png
15.45609,-17.348508,7.0,Rural,7.9,./0.png
15.450468,-17.344678,7.0,Rural,7.9,./0.png
15.425684,-17.346132,7.0,Rural,7.9,./0.png
15.423067,-17.342835,7.0,Rural,7.9,./0.png
15.40354,-17.346378,7.0,Rural,7.9,./0.png
15.407102,-17.349778,7.0,Rural,7.9,./0.png
15.379915,-17.347464,7.0,Rural,7.9,./0.png
15.37734,-17.345334,7.0,Rural,7.9,./0.png
15.376031,-17.351109,7.0,Rural,7.9,./0.png
15.357599,-17.344904,7.0,Rural,7.9,./0.png
15.358372,-17.347996,7.0,Rural,7.9,./0.png
15.358007,-17.350536,7.0,Rural,7.9,./0.png
15.347643,-17.343982,7.0,Rural,7.9,./0.png
15.348995,-17.345047,7.0,Rural,7.9,./0.png
15.317109,-17.348283,7.0,Rural,7.9,./0.png
15.303741,-17.352871,7.0,Rural,7.9,./0.png
15.302389,-17.349205,7.0,Rural,7.9,./0.png
15.301938,-17.3456,7.0,Rural,7.9,./0.png
15.303612,-17.347177,7.0,Rural,7.9,./0.png
15.281553,-17.347197,7.0,Rural,7.9,./0.png
15.283034,-17.353178,7.0,Rural,7.9,./0.png
